# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_24	cds	14710	15510	-	LDJNFA_02310		Putative N-acetylgalactosamine-specific phosphotransferase system (PTS), IIC component	SO:0001217, UniRef:UniRef50_I7IYI6
contig_24	cds	15523	16014	-	LDJNFA_02315		N-acetylgalactosamine-specific phosphotransferase EIIB	SO:0001217, UniRef:UniRef50_A0A098Z6D4
contig_24	cds	16027	17220	-	LDJNFA_02320		hypothetical protein	PFAM:PF07470.16
contig_24	cds	17542	18303	+	LDJNFA_02325	yiaJ	HTH-type transcriptional regulator yiaJ	SO:0001217, UniRef:UniRef50_A0A1S2ACV2
contig_24	cds	18413	19258	+	LDJNFA_02330		4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1	SO:0001217, UniRef:UniRef50_Q838L9
contig_24	cds	19280	20104	+	LDJNFA_02335		glucose 1-dehydrogenase [NAD(P)(+)]	SO:0001217, UniRef:UniRef50_A0A329EJM2
contig_24	cds	20117	21076	+	LDJNFA_02340		hypothetical protein	PFAM:PF00294.27
contig_24	cds	21076	21720	+	LDJNFA_02345		4-hydroxy-2-oxoglutarate aldolase 2-dehydro-3-deoxyphosphogluconate aldolase	SO:0001217, UniRef:UniRef50_A0A0C1MAV2
contig_24	cds	21736	22134	+	LDJNFA_02350		PTS system, galactosamine-specific IIA component	SO:0001217, UniRef:UniRef50_A0A837BSX0
contig_24	cds	22337	24190	+	LDJNFA_02355		hypothetical protein	PFAM:PF00874.23, PFAM:PF05043.16, PFAM:PF08279.15
contig_24	cds	24205	24546	+	LDJNFA_02360		hypothetical protein	PFAM:PF00874.23
contig_24	cds	24562	24921	+	LDJNFA_02365		hypothetical protein	
contig_24	cds	24926	25222	+	LDJNFA_02370		hypothetical protein	
contig_24	cds	25250	26023	+	LDJNFA_02375		DUF4311 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A101W6E2
contig_24	cds	26043	26726	+	LDJNFA_02380		DUF4310 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6G3SA26
contig_24	cds	26750	27859	+	LDJNFA_02385		hypothetical protein	PFAM:PF01979.23, PFAM:PF07969.14
contig_24	cds	27872	28969	+	LDJNFA_02390	dgaE	DgaE family pyridoxal phosphate-dependent ammonia lyase	SO:0001217, UniRef:UniRef50_A0A377PPL6
contig_24	cds	28971	29708	+	LDJNFA_02395		2-dehydro-3-deoxyphosphooctonate aldolase	SO:0001217, UniRef:UniRef50_A0A1B1SS72
contig_24	cds	30611	30919	+	LDJNFA_02400		hypothetical protein	PFAM:PF02302.20
contig_24	cds	30958	32388	+	LDJNFA_02405		Permease IIC component	SO:0001217, UniRef:UniRef50_X0PSI0
contig_24	cds	32375	32686	+	LDJNFA_02410		hypothetical protein	PFAM:PF02255.19
contig_24	cds	32819	34057	+	LDJNFA_02415		Alpha-L-fucosidase	SO:0001217, UniRef:UniRef50_K6RLY1
contig_25	ncRNA	248	305	-	LDJNFA_02420	Transposase-1	Transposase-1 RNA	RFAM:RF03014, SO:0000655
contig_25	cds	340	1500	-	LDJNFA_02425		Transposase	SO:0001217, UniRef:UniRef50_A0A6N4HRK0
contig_25	cds	1463	2095	-	LDJNFA_02430		Dna-binding protein	SO:0001217, UniRef:UniRef50_A0A243GWT8
contig_25	cds	2176	2940	-	LDJNFA_02435		hypothetical protein	
contig_25	cds	2965	3378	-	LDJNFA_02440		hypothetical protein	PFAM:PF08861.13
contig_25	cds	3886	4902	-	LDJNFA_02445		Glycosyltransferase	SO:0001217, UniRef:UniRef50_F0HUJ8
contig_25	cds	5014	6432	-	LDJNFA_02450		Anion permease	SO:0001217, UniRef:UniRef50_A0A837BTW3
contig_25	cds	6467	8275	-	LDJNFA_02455		Fumarate reductase flavoprotein subunit	SO:0001217, UniRef:UniRef50_A0A508YWI8
contig_25	cds	8531	9406	+	LDJNFA_02460	lysR	LysR substrate binding domain protein	SO:0001217, UniRef:UniRef50_I7JUX5
contig_25	cds	9403	11181	-	LDJNFA_02465		Succinate dehydrogenase/fumarate reductase	SO:0001217, UniRef:UniRef50_A0A0F4LIM6
contig_25	cds	11379	12260	+	LDJNFA_02470		HTH lysR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A249NK49
contig_25	cds	12307	13314	-	LDJNFA_02475		Beta-lactamase	SO:0001217, UniRef:UniRef50_I7LAP9
contig_25	cds	13317	14171	-	LDJNFA_02480		hypothetical protein	PFAM:PF01380.25, PFAM:PF01418.20, PFAM:PF13580.9
contig_25	cds	14176	15075	-	LDJNFA_02485		N-acetylmuramic acid 6-phosphate etherase	SO:0001217, UniRef:UniRef50_A0Q804
contig_25	cds	15301	16338	+	LDJNFA_02490		Acyl-transf-3 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1KF27
contig_25	cds	16526	16954	-	LDJNFA_02495		hypothetical protein	PFAM:PF00248.24
contig_25	cds	16893	17390	-	LDJNFA_02500		hypothetical protein	PFAM:PF00248.24
contig_25	cds	17815	18378	-	LDJNFA_02505		Nudix hydrolase domain-containing protein	SO:0001217, UniRef:UniRef50_S1RHT5
contig_25	cds	18421	19602	-	LDJNFA_02510		Diaminopropionate ammonia-lyase family	SO:0001217, UniRef:UniRef50_C2ESJ5
contig_25	cds	19831	20829	-	LDJNFA_02515		FMN-dependent alpha-hydroxy acid dehydrogenase	SO:0001217, UniRef:UniRef50_I7IZ16
contig_25	cds	20846	22612	-	LDJNFA_02520		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_G6F7T1
contig_25	cds	22612	24339	-	LDJNFA_02525		ATP-binding cassette domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S8SC05
contig_25	cds	24336	24779	-	LDJNFA_02530		hypothetical protein	PFAM:PF01047.25, PFAM:PF13463.9
contig_25	cds	24972	25910	+	LDJNFA_02535		PBPb domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1YHB4
contig_25	cds	26117	26824	+	LDJNFA_02540		Glycerol uptake facilitator protein 2	SO:0001217, UniRef:UniRef50_F9USY3
contig_25	cds	27534	27860	+	LDJNFA_02545		hypothetical protein	
contig_25	cds	28033	28554	+	LDJNFA_02550		hypothetical protein	
contig_25	cds	28640	31627	-	LDJNFA_02555		Type I restriction enzyme endonuclease subunit	SO:0001217, UniRef:UniRef50_A0A0R1PHV7
contig_26	cds	178	2703	-	LDJNFA_02560		Aminopeptidase N	SO:0001217, UniRef:UniRef50_P37896
contig_26	cds	2832	3254	+	LDJNFA_02565		Aggregation promoting factor surface protein	SO:0001217, UniRef:UniRef50_D4YSP5
contig_26	cds	3319	4275	-	LDJNFA_02570		Cytochrome C5	SO:0001217, UniRef:UniRef50_G6F8U8
contig_26	cds	4419	5651	+	LDJNFA_02575		MFS domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1YJ00
contig_26	cds	5929	6219	-	LDJNFA_02580		Damage-inducible protein J	SO:0001217, UniRef:UniRef50_A0A0R1GKV5
contig_26	cds	6266	6397	-	LDJNFA_02585		hypothetical protein	
contig_26	cds	6397	6651	-	LDJNFA_02590	abrB	AbrB family transcriptional regulator	SO:0001217, UniRef:UniRef50_I7KQ28
contig_26	cds	6779	7327	-	LDJNFA_02595		hypothetical protein	
contig_26	cds	7333	7458	-	LDJNFA_02600		hypothetical protein	
contig_26	cds	7510	8280	-	LDJNFA_02605		ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A061BUL6
contig_26	cds	8277	9032	-	LDJNFA_02610		hypothetical protein	
contig_26	cds	9019	9942	-	LDJNFA_02615		ABC superfamily ATP binding cassette transporter, ABC protein	SO:0001217, UniRef:UniRef50_I7KQ30
contig_26	cds	10251	10598	-	LDJNFA_02620		hypothetical protein	
contig_26	cds	11267	11992	-	LDJNFA_02625		hypothetical protein	PFAM:PF13349.9
contig_26	cds	12041	12688	-	LDJNFA_02630		Endonuclease III	SO:0001217, UniRef:UniRef50_A0A3S8S9Q4
contig_26	cds	12810	13667	-	LDJNFA_02635		Maltose ABC transporter, permease protein	SO:0001217, UniRef:UniRef50_D2BKX5
contig_26	cds	13671	15029	-	LDJNFA_02640		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A224XC56
contig_26	cds	15100	16320	-	LDJNFA_02645		Maltose maltodextrin ABC transporter, maltose maltodextrin-binding protein	SO:0001217, UniRef:UniRef50_A0A0R1UFE9
contig_26	cds	16410	17516	-	LDJNFA_02650	malK	Maltose/maltodextrin transport ATP-binding protein MalK Multiple sugar ABC transporter,ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A239YLU2
contig_26	cds	17534	18196	-	LDJNFA_02655		Beta-phosphoglucomutase	SO:0001217, UniRef:UniRef50_A0A6M9CGY8
contig_26	cds	18189	20456	-	LDJNFA_02660		Maltose phosphorylase	SO:0001217, UniRef:UniRef50_E6ENP7
contig_26	cds	20594	22309	-	LDJNFA_02665		Maltogenic amylase or neopullulanase	SO:0001217, UniRef:UniRef50_A0A2X0PAD3
contig_26	cds	22329	23987	-	LDJNFA_02670		Oligo-1,6-glucosidase	SO:0001217, UniRef:UniRef50_A0A2X0P9X8
contig_26	cds	24188	25030	+	LDJNFA_02675		hypothetical protein	PFAM:PF01381.25
contig_26	cds	25172	25660	+	LDJNFA_02680		hypothetical protein	
contig_26	cds	25720	26670	-	LDJNFA_02685	lacI	LacI family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A0M9FHK6
contig_26	cds	26679	27452	-	LDJNFA_02690		Phosphatase	SO:0001217, UniRef:UniRef50_A0A137PQC3
contig_26	cds	27531	29033	-	LDJNFA_02695		Glycerol kinase	SO:0001217, UniRef:UniRef50_O34153
contig_26	cds	29215	30018	+	LDJNFA_02700		hypothetical protein	PFAM:PF00294.27
contig_26	cds	30064	31380	-	LDJNFA_02705		Aminopeptidase E	SO:0001217, UniRef:UniRef50_P94870
contig_27	cds	231	377	-	LDJNFA_02710		hypothetical protein	
contig_27	cds	555	1307	-	LDJNFA_02715		hypothetical protein	PFAM:PF13349.9
contig_27	cds	1331	2413	-	LDJNFA_02720		M42 family peptidase	SO:0001217, UniRef:UniRef50_Q74KM5
contig_27	cds	2560	3762	+	LDJNFA_02725		MFS domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4R5N2T7
contig_27	cds	3957	5282	+	LDJNFA_02730		Uracil transporter	SO:0001217, UniRef:UniRef50_A0A512PQY0
contig_27	cds	5678	6148	-	LDJNFA_02735		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_D0R1Z6
contig_27	cds	6285	7742	-	LDJNFA_02740		MFS domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R2KPN9
contig_27	cds	7858	8661	-	LDJNFA_02745		DUF4931 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0D5MK59
contig_27	cds	8804	10117	+	LDJNFA_02750		ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_S0KJF8
contig_27	cds	10155	11090	-	LDJNFA_02755		DUF2974 domain-containing protein	SO:0001217, UniRef:UniRef50_F2M399
contig_27	cds	11097	11747	-	LDJNFA_02760		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R2IQ45
contig_27	cds	11757	12389	-	LDJNFA_02765		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R2JDJ6
contig_27	cds	12389	13228	-	LDJNFA_02770		Glutamine ABC transporter	SO:0001217, UniRef:UniRef50_Q5FLH1
contig_27	cds	13241	13978	-	LDJNFA_02775	glnQ	Glutamine transport ATP-binding protein glnQ	SO:0001217, UniRef:UniRef50_G2KW23
contig_27	cds	14157	14801	+	LDJNFA_02780		Uridine kinase	SO:0001217, UniRef:UniRef50_Q8DTG1
contig_27	cds	14841	15419	-	LDJNFA_02785		ABC transporter permease	SO:0001217, UniRef:UniRef50_N1ZPT6
contig_27	ncRNA-region	15482	15570	-			TPP riboswitch (THI element)	RFAM:RF00059, SO:0000035
contig_27	cds	15632	16201	-	LDJNFA_02790		Hypoxanthine phosphoribosyltransferase	SO:0001217, UniRef:UniRef50_A0A0D5MJT3
contig_27	cds	16305	17657	-	LDJNFA_02795		HlyC/CorC family transporter	SO:0001217, UniRef:UniRef50_U4TLD6
contig_27	cds	17721	18377	-	LDJNFA_02800		Nitroreductase domain-containing protein	SO:0001217, UniRef:UniRef50_N1ZIF4
contig_27	cds	18479	18727	-	LDJNFA_02805		hypothetical protein	
contig_27	cds	18846	21245	-	LDJNFA_02810		putative phosphoketolase	SO:0001217, UniRef:UniRef50_Q9CFH4
contig_27	cds	21540	22307	+	LDJNFA_02815		HTH deoR-type domain-containing protein	SO:0001217, UniRef:UniRef50_N2A3U3
contig_27	cds	22310	22660	+	LDJNFA_02820		Bacteriocin immunity protein	SO:0001217, UniRef:UniRef50_C2ELU2
contig_27	cds	22753	23571	+	LDJNFA_02825		HAD family hydrolase	SO:0001217, UniRef:UniRef50_Q5FLF0
contig_27	cds	23610	24335	-	LDJNFA_02830		HTH gntR-type domain-containing protein	SO:0001217, UniRef:UniRef50_N1ZSZ2
contig_27	cds	24335	25258	-	LDJNFA_02835		IU-nuc-hydro domain-containing protein	SO:0001217, UniRef:UniRef50_Q74KF2
contig_27	cds	25282	25974	-	LDJNFA_02840		Ribose-5-phosphate isomerase A	SO:0001217, UniRef:UniRef50_Q5FLF6
contig_27	cds	25980	26897	-	LDJNFA_02845		Ribokinase	SO:0001217, UniRef:UniRef50_U4TK11
contig_27	cds	26995	27462	-	LDJNFA_02850		DNA-binding ferritin-like protein	SO:0001217, UniRef:UniRef50_A0A091BWQ5
contig_27	cds	27581	28195	-	LDJNFA_02855		dITP/XTP pyrophosphatase	SO:0001217, UniRef:UniRef50_Q5FLV7
contig_27	cds	28196	28990	-	LDJNFA_02860		Glutamate racemase	SO:0001217, UniRef:UniRef50_Q5FLV8
contig_27	cds	29080	29490	+	LDJNFA_02865		DUF2507 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0F4LWZ5
contig_27	cds	29509	29880	+	LDJNFA_02870		Large-conductance mechanosensitive channel	SO:0001217, UniRef:UniRef50_A0A0F4KTK0
contig_28	cds	69	2918	-	LDJNFA_02875		hypothetical protein	PFAM:PF00004.32, PFAM:PF00158.29, PFAM:PF01078.24, PFAM:PF05496.15, PFAM:PF07724.17, PFAM:PF07728.17, PFAM:PF13191.9, PFAM:PF13401.9, PFAM:PF13604.9, PFAM:PF17866.4
contig_28	cds	3048	4265	-	LDJNFA_02880		hypothetical protein	PFAM:PF01814.26, PFAM:PF08448.13, PFAM:PF13596.9
contig_28	cds	4258	4833	-	LDJNFA_02885		DUF59 domain-containing protein	SO:0001217, UniRef:UniRef50_Q5FML1
contig_28	cds	4906	5619	-	LDJNFA_02890		Anaerobic ribonucleoside-triphosphate reductase-activating protein	SO:0001217, UniRef:UniRef50_A0A139Q679
contig_28	cds	5619	7826	-	LDJNFA_02895		Anaerobic ribonucleoside-triphosphate reductase	SO:0001217, UniRef:UniRef50_A0A4Q1KXP3
contig_28	cds	8260	10380	+	LDJNFA_02900		hypothetical protein	PFAM:PF00746.24, PFAM:PF04650.20
contig_28	cds	10524	11885	-	LDJNFA_02905		hypothetical protein	PFAM:PF00072.27, PFAM:PF00165.26, PFAM:PF12833.10
contig_28	cds	11919	13589	-	LDJNFA_02910		hypothetical protein	
contig_28	cds	13586	14191	-	LDJNFA_02915		hypothetical protein	
contig_28	cds	14295	15761	-	LDJNFA_02920		DUF3502 domain-containing protein	SO:0001217, UniRef:UniRef50_U4TN02
contig_28	cds	15790	16710	-	LDJNFA_02925		ABC transporter, permease protein	SO:0001217, UniRef:UniRef50_E0PF93
contig_28	cds	16724	17674	-	LDJNFA_02930		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_U4TLW6
contig_28	cds	17839	19446	-	LDJNFA_02935		hypothetical protein	PFAM:PF00128.27
contig_28	cds	19532	21298	-	LDJNFA_02940		Benzene 1,2-dioxygenase	SO:0001217, UniRef:UniRef50_A0A1Y4UGE2
contig_28	cds	21298	23967	-	LDJNFA_02945		hypothetical protein	PFAM:PF01074.25, PFAM:PF07748.16, PFAM:PF09261.14, PFAM:PF17677.4, PFAM:PF18438.4
contig_28	cds	23982	25265	-	LDJNFA_02950		Metal-independent alpha-mannosidase	SO:0001217, UniRef:UniRef50_A9QST9
contig_28	cds	25384	26409	+	LDJNFA_02955		hypothetical protein	PFAM:PF00392.24, PFAM:PF00532.24, PFAM:PF13377.9
contig_28	cds	26420	28477	+	LDJNFA_02960		Alpha-1,2-mannosidase	SO:0001217, UniRef:UniRef50_U4TMZ1
contig_28	cds	28875	29834	+	LDJNFA_02965		hypothetical protein	
contig_29	tRNA	67	155	-	LDJNFA_02970	trnS	tRNA-Ser(cga)	SO:0000269
contig_29	cds	334	1719	+	LDJNFA_02975		AA-permease domain-containing protein	SO:0001217, UniRef:UniRef50_F4ACZ4
contig_29	cds	1742	2617	-	LDJNFA_02980	hflK	Modulator of FtsH protease HflK	SO:0001217, UniRef:UniRef50_A0A2S2JKL2
contig_29	cds	2768	3724	+	LDJNFA_02985		Thymidylate synthase 2	SO:0001217, UniRef:UniRef50_P11044
contig_29	cds	3738	4247	+	LDJNFA_02990		Dihydrofolate reductase	SO:0001217, UniRef:UniRef50_D4YUF7
contig_29	ncRNA-region	4291	4530	+			T-box leader	RFAM:RF00230, SO:0000140
contig_29	cds	4578	5429	+	LDJNFA_02995		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A0R2BYD2
contig_29	cds	5444	6502	+	LDJNFA_03000		ABC transporter, ATP-binding protein	SO:0001217, UniRef:UniRef50_D4YUG2
contig_29	cds	6495	7196	+	LDJNFA_03005		ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A098CR57
contig_29	cds	7589	8287	+	LDJNFA_03010		Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase	SO:0001217, UniRef:UniRef50_F2NBC2
contig_29	cds	8303	9772	+	LDJNFA_03015		2-oxoglutarate translocator	SO:0001217, UniRef:UniRef50_A0A0F4LPA8
contig_29	cds	9832	10617	+	LDJNFA_03020		Hydrolase, alpha/beta domain protein	SO:0001217, UniRef:UniRef50_D4YUH0
contig_29	cds	10741	11877	+	LDJNFA_03025		Malate dehydrogenase	SO:0001217, UniRef:UniRef50_F7V8L0
contig_29	cds	12053	13474	+	LDJNFA_03030		MFS domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4R5NPD4
contig_29	cds	13648	14703	+	LDJNFA_03035		[Citrate [pro-3S]-lyase] ligase	SO:0001217, UniRef:UniRef50_A0A135Z980
contig_29	cds	14693	14986	+	LDJNFA_03040		hypothetical protein	
contig_29	cds	14989	15903	+	LDJNFA_03045		Citrate lyase subunit beta	SO:0001217, UniRef:UniRef50_A0A120DHR5
contig_29	cds	15893	17434	+	LDJNFA_03050		Citrate lyase alpha chain	SO:0001217, UniRef:UniRef50_Q5FKK0
contig_29	cds	17541	18080	+	LDJNFA_03055		citrate lyase holo-[acyl-carrier protein] synthase	SO:0001217, UniRef:UniRef50_A0A0R1XQD2
contig_29	cds	18451	18585	+	LDJNFA_03060		hypothetical protein	
contig_29	cds	18630	18800	+	LDJNFA_03065		hypothetical protein	
contig_29	cds	18797	19033	+	LDJNFA_03070		hypothetical protein	
contig_29	cds	19080	19352	+	LDJNFA_03075		hypothetical protein	
contig_29	cds	19397	19945	+	LDJNFA_03080		hypothetical protein	PFAM:PF00188.29
contig_29	cds	20000	20278	-	LDJNFA_03085		hypothetical protein	
contig_29	cds	20408	20998	-	LDJNFA_03090		hypothetical protein	PFAM:PF13508.10, PFAM:PF13673.10
contig_29	cds	20952	21896	-	LDJNFA_03095		Sugar-bind domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1YBQ5
contig_29	cds	22069	23430	+	LDJNFA_03100		Threonine/serine exporter family protein	SO:0001217, UniRef:UniRef50_A0A1B3PRY9
contig_29	cds	23577	26807	+	LDJNFA_03105		hypothetical protein	PFAM:PF01476.23, PFAM:PF07554.16
contig_29	cds	27007	27513	-	LDJNFA_03110		Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase	SO:0001217, UniRef:UniRef50_A0A0B2XK64
contig_29	cds	27580	28524	+	LDJNFA_03115		Ribosomal protein L11 methyltransferase	SO:0001217, UniRef:UniRef50_Q04AV7
contig_29	cds	28572	28931	+	LDJNFA_03120		Conserved domain protein	SO:0001217, UniRef:UniRef50_N2ADZ9
contig_29	cds	28946	31183	+	LDJNFA_03125		GTP diphosphokinase	SO:0001217, UniRef:UniRef50_I7IVZ1
contig_29	cds	31183	31623	+	LDJNFA_03130		D-aminoacyl-tRNA deacylase	SO:0001217, UniRef:UniRef50_A0A7C6J1P5
contig_29	cds	31895	33181	+	LDJNFA_03135		Histidine--tRNA ligase	SO:0001217, UniRef:UniRef50_Q5FKI5
contig_29	cds	33185	35038	+	LDJNFA_03140		Aspartate--tRNA ligase	SO:0001217, UniRef:UniRef50_Q74IX4
contig_29	cds	35216	36370	+	LDJNFA_03145		Lysozyme	SO:0001217, UniRef:UniRef50_F0HVZ3
contig_29	cds	36520	36942	+	LDJNFA_03150	msrB	Peptide methionine sulfoxide reductase MsrB	SO:0001217, UniRef:UniRef50_A0A0R1NV22
contig_29	cds	37060	38277	+	LDJNFA_03155		Lysozyme	SO:0001217, UniRef:UniRef50_F0HVZ3
contig_29	cds	38386	38928	-	LDJNFA_03160	msrA	Peptide methionine sulfoxide reductase MsrA	SO:0001217, UniRef:UniRef50_A0A2R5HG22
contig_29	cds	39205	40083	+	LDJNFA_03165		DUF2179 domain-containing protein	SO:0001217, UniRef:UniRef50_K0NWU2
contig_29	cds	40144	40983	-	LDJNFA_03170		Putative pyruvate, phosphate dikinase regulatory protein 2	SO:0001217, UniRef:UniRef50_Q831T1
contig_29	cds	41185	41361	+	LDJNFA_03175		30S ribosomal protein S21	SO:0001217, UniRef:UniRef50_A0A1N7KZK0
contig_29	cds	41484	41927	+	LDJNFA_03180	yqeY	Uncharacterized protein YqeY	SO:0001217, UniRef:UniRef50_P54464
contig_29	cds	41948	42907	+	LDJNFA_03185		PhoH-like protein	SO:0001217, UniRef:UniRef50_P46343
contig_29	cds	42909	43433	+	LDJNFA_03190	ybeY	Endoribonuclease YbeY	SO:0001217, UniRef:UniRef50_Q5FJT6
contig_29	cds	43433	44341	+	LDJNFA_03195		GTPase Era	SO:0001217, UniRef:UniRef50_P42182
contig_29	cds	44341	45093	+	LDJNFA_03200	recO	DNA repair protein RecO	SO:0001217, UniRef:UniRef50_Q5FJT8
contig_29	cds	45343	46260	+	LDJNFA_03205		Glycine--tRNA ligase alpha subunit	SO:0001217, UniRef:UniRef50_Q8EKS5
contig_29	cds	46253	48319	+	LDJNFA_03210		Glycine--tRNA ligase beta subunit	SO:0001217, UniRef:UniRef50_Q5FJU0
contig_29	cds	48341	50149	+	LDJNFA_03215		DNA primase	SO:0001217, UniRef:UniRef50_F0TFA3
contig_29	cds	50149	51264	+	LDJNFA_03220	sigA	RNA polymerase sigma factor SigA	SO:0001217, UniRef:UniRef50_A0A847N6K1
contig_29	cds	51294	51935	-	LDJNFA_03225		Peptidase-M23 domain-containing protein	SO:0001217, UniRef:UniRef50_N2A145
contig_29	cds	51938	52378	-	LDJNFA_03230		Nudix hydrolase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1TR51
contig_29	cds	52486	53169	+	LDJNFA_03235		SAM-dependent methyltransferase	SO:0001217, UniRef:UniRef50_N2AF51
contig_29	cds	53166	53963	+	LDJNFA_03240		GTP cyclohydrolase 1 type 2-like protein	SO:0001217, UniRef:UniRef50_A0A0D5MIT0
contig_29	cds	53979	55220	+	LDJNFA_03245		Peptidase T	SO:0001217, UniRef:UniRef50_Q9L4G1
contig_29	cds	55639	56016	+	LDJNFA_03250		HTH gntR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A249NK59
contig_29	cds	56000	56707	+	LDJNFA_03255		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A137PPL8
contig_29	cds	56707	57552	+	LDJNFA_03260		hypothetical protein	
contig_29	cds	57572	58408	+	LDJNFA_03265		hypothetical protein	
contig_29	cds	58520	58705	-	LDJNFA_03270		hypothetical protein	
contig_29	cds	58768	59331	-	LDJNFA_03275		Signal peptidase I	SO:0001217, UniRef:UniRef50_A0A061BZZ5
contig_29	cds	59449	60195	+	LDJNFA_03280		SAM-dependent methyltransferase	SO:0001217, UniRef:UniRef50_A0A0D6A475
contig_29	cds	60192	61157	+	LDJNFA_03285		hypothetical protein	
contig_29	cds	61150	62547	+	LDJNFA_03290		SAM-MT-RSMB-NOP domain-containing protein	SO:0001217, UniRef:UniRef50_Q74J22
contig_29	cds	62555	63355	+	LDJNFA_03295		Cof-like hydrolase	SO:0001217, UniRef:UniRef50_C2E4H5
contig_29	cds	63410	64426	-	LDJNFA_03300		Isopentenyl-diphosphate delta-isomerase	SO:0001217, UniRef:UniRef50_D5GXW6
contig_29	cds	64438	65520	-	LDJNFA_03305		phosphomevalonate kinase	SO:0001217, UniRef:UniRef50_F9UP88
contig_29	cds	65558	66517	-	LDJNFA_03310		diphosphomevalonate decarboxylase	SO:0001217, UniRef:UniRef50_A0A1B3PS97
contig_29	cds	66670	67578	-	LDJNFA_03315		Galactokinase	SO:0001217, UniRef:UniRef50_A0A1B3PS86
contig_29	cds	67657	71139	+	LDJNFA_03320		ATP-dependent helicase/deoxyribonuclease subunit B	SO:0001217, UniRef:UniRef50_Q74JA5
contig_29	cds	71139	74747	+	LDJNFA_03325		ATP-dependent helicase/nuclease subunit A	SO:0001217, UniRef:UniRef50_C8PAK4
contig_29	cds	74769	77558	+	LDJNFA_03330	dinG	3'-5' exonuclease DinG	SO:0001217, UniRef:UniRef50_I7KI20
contig_29	cds	77548	78045	+	LDJNFA_03335		DUF5590 domain-containing protein	SO:0001217, UniRef:UniRef50_F0TF76
contig_29	cds	78096	79394	+	LDJNFA_03340		Asparagine--tRNA ligase	SO:0001217, UniRef:UniRef50_W8YSE8
contig_29	cds	79476	80120	+	LDJNFA_03345		DnaB-2 domain-containing protein	SO:0001217, UniRef:UniRef50_K0NZK0
contig_29	cds	80120	80749	+	LDJNFA_03350		Endonuclease III	SO:0001217, UniRef:UniRef50_A0A6G7KCC9
contig_29	cds	80829	83120	-	LDJNFA_03355		Penicillin-insensitive transglycosylase	SO:0001217, UniRef:UniRef50_A0A4R5NFH8
contig_29	cds	83110	83742	-	LDJNFA_03360	recU	Holliday junction resolvase RecU	SO:0001217, UniRef:UniRef50_Q5KXY4
contig_29	cds	83811	84380	+	LDJNFA_03365		UPF0398 protein Ldb1014	SO:0001217, UniRef:UniRef50_Q1GA98
contig_29	cds	84468	84878	+	LDJNFA_03370		DivIVA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0F4LS76
contig_29	ncRNA	84944	85305	+	LDJNFA_03375	RNaseP_bact_b	Bacterial RNase P class B	RFAM:RF00011, SO:0000386
contig_29	cds	85251	86501	+	LDJNFA_03380		THUMP domain-containing protein	SO:0001217, UniRef:UniRef50_Q5FJY0
contig_29	cds	86498	87730	+	LDJNFA_03385		Putative 3',5'-cyclic-nucleotide phosphodiesterase	SO:0001217, UniRef:UniRef50_Q5FJY1
contig_29	cds	87742	88104	+	LDJNFA_03390		hypothetical protein	PFAM:PF17255.5
contig_29	cds	88218	89126	-	LDJNFA_03395	degV	DegV family protein	SO:0001217, UniRef:UniRef50_Q5FN02
